Group,ID,Full.Name,Treatment,Exposure,Starting,ACLY,ACODI1,CARKL,CD163,CD36,CD47,CD80,CD86,CIITA,CTCF,E2F1,FAS,GATA3,GPR32,HIF-1a,IDH,IL-10,IL-12p35,IL-23,IL-6,IL-8,LDHA,MCP4,MDC,MIP-4,MMP9,MRC1,MYC,PDK,PFKFB,PKM2,PPARy,PTGS2,SLC25A1,TARC,TLR4,TNFa,TNFSF1a,VEGF
Vehicle,Donor_1,M0_Vehicle_Donor_1,M0_Vehicle,Vehicle,M0,0.195170118,0.010791387,-0.127963801,0.217894027,0.174586135,-0.483907669,0.116763521,0.169246933,0.081410213,0.332318655,0.086174345,0.077407837,2.50112823,0.325576485,-0.065338062,0.238727874,0.092713857,0.344518222,-0.128117377,-1.515595746,-0.639742074,0.254819968,-0.321715258,0.016689586,-1.021855425,0.321570729,0.59476423,-0.405126021,-0.713493099,-0.309351735,0.043578787,-0.659023575,0.178882652,0.215482007,1.990491434,-0.203893806,-0.200625585,-0.284111301,0.079782406
Vehicle,Donor_2,M0_Vehicle_Donor_2,M0_Vehicle,Vehicle,M0,0.015241202,-2.216410069,0.259691141,0.175467731,-0.144761191,-0.076266801,0.43912913,0.067252178,0.863054939,-0.148192617,-0.329944878,-0.366543443,0.024748753,-0.034843779,0.802323608,-0.054089498,-0.078809017,-0.283226499,-0.871342599,0.941942928,0.261336192,0.30358191,-1.671589109,1.043149698,0.87273113,0.170886491,0.009030225,0.081343886,0.498892135,0.736009907,0.116852583,0.078414401,0.132165827,0.039893807,-1.859177403,-0.00084731,-0.444721428,-0.12659337,0.600864991
Vehicle,Donor_3,M0_Vehicle_Donor_3,M0_Vehicle,Vehicle,M0,0.161371358,1.094760839,-0.134902186,0.273577317,0.18664171,0.497335116,-0.498061518,0.037929942,-0.645919718,0.017715543,0.284064173,0.014228951,-1.498182774,0.236066341,-0.240683261,0.225234733,0.530148089,0.453347173,0.781630148,0.80602243,-0.162765858,0.010492128,-1.011667302,-1.027006261,-0.152005573,-0.387905867,-0.05049983,-0.383498716,-0.106793776,-0.097548591,-0.023280041,0.371069404,0.053361708,-0.002365732,0.338402333,0.181989519,0.120900472,0.065412645,0.003657667
Vehicle,Donor_4,M0_Vehicle_Donor_4,M0_Vehicle,Vehicle,M0,-0.02668715,0.350275349,0.105427498,-0.239017386,-0.001046009,0.079110932,0.033590039,-0.108650053,-0.272712164,-0.060865789,0.002359986,0.153922377,-1.389877072,-0.239677034,-0.118247046,-0.31483588,-0.579166626,0.312631122,-0.521145831,-0.375369667,-0.333559261,-0.032210118,2.392615036,0.900216175,0.5769033,-0.281677674,-0.170400892,0.529057364,0.356282267,-0.36953219,-0.0726349,0.42063921,-0.17345486,0.003041346,1.420978006,-0.175601129,0.308357832,0.008771819,-0.298435656
Vehicle,Donor_5,M0_Vehicle_Donor_5,M0_Vehicle,Vehicle,M0,-0.345095528,0.760582493,-0.102252653,-0.427921689,-0.215420645,-0.016271579,-0.091421172,-0.165779001,-0.02583327,-0.140975792,-0.042653626,0.120984278,0.362182863,-0.287122013,-0.378055239,-0.09503723,0.035113697,-0.827270018,0.738975659,0.143000054,0.874731,-0.536683888,0.612356633,-0.933049198,-0.275773432,0.17712632,-0.382893734,0.178223487,-0.034887527,0.040422609,-0.064516429,-0.211099439,-0.190955328,-0.256051428,-1.890694369,0.198352725,0.21608871,0.336520207,-0.385869407
Vehicle,Donor_1,M2_Vehicle_Donor_1,M2_Vehicle,Vehicle,M2,0.099772768,1.64658185,0.855572157,-0.970658268,0.157432901,-0.402311088,2.046117004,0.892031568,2.559321047,-0.13880176,-1.374471474,0.241026179,1.483915709,-0.243215364,-0.374756237,-0.109319874,-0.224612678,-1.301924374,0.572452032,-0.923438852,0.441184821,-0.077160293,7.848148504,3.394324292,7.385575102,-0.233274098,0.693763116,0.569701314,-0.299779128,-1.358797794,0.009748128,0.644497034,-1.126109924,-0.125071232,7.808678981,-0.082482205,0.293277535,0.147862583,-0.27563731
Vehicle,Donor_2,M2_Vehicle_Donor_2,M2_Vehicle,Vehicle,M2,0.088823133,0.284389434,1.084827912,-1.531699528,-0.194184974,-0.562295089,1.819844193,1.017446775,2.826048612,-0.335909276,-2.881795954,0.514705602,-0.507975701,-0.717747223,-0.324093352,-0.150796246,-0.505692116,-2.422006573,0.480594741,1.911501066,0.147636916,0.349130613,6.75127942,5.477989323,6.786611434,0.700480085,0.51185756,0.782423945,0.057719805,-1.13283877,0.534232458,1.367367433,-0.990758702,-0.480066982,7.370018737,-0.098793471,-0.876306562,-0.254145744,0.451997734
Vehicle,Donor_3,M2_Vehicle_Donor_3,M2_Vehicle,Vehicle,M2,0.034020067,1.050178497,0.530087265,-0.416563833,-0.031061097,-0.162504851,1.20136839,0.328153831,1.296743692,-0.355895273,-0.709493981,-0.036466298,-1.930960429,-0.969730369,-0.540123765,0.027481171,0.158185014,-2.04476661,-2.35340314,2.44982726,-1.060133127,0.020356084,7.617171,3.321106249,7.362710458,-0.354682812,0.668129707,0.194644015,-0.433380581,-1.676352646,0.074085227,0.886257936,-1.141207707,-0.407532084,4.244347704,-0.150061934,-0.589100485,-0.123687062,-0.328164285
Vehicle,Donor_4,M2_Vehicle_Donor_4,M2_Vehicle,Vehicle,M2,0.174627569,1.8402999,1.112889109,-1.251979917,-0.118283093,-0.535898327,1.369929389,1.122593967,1.689797555,-0.521837445,-1.818550749,0.260228134,-1.650232163,-1.011325702,-0.680161302,-0.022302288,-0.528130293,-2.135905109,0.297381649,0.877607061,-0.139540134,-0.008550123,7.497024836,5.320964479,5.054190033,0.723084482,0.677672233,0.538801839,0.284453393,-1.150639204,0.325612966,1.637016585,-1.384312543,-0.328412365,6.945693971,-0.374676191,-0.175485865,-0.176551036,-0.361349449
Vehicle,Donor_5,M2_Vehicle_Donor_5,M2_Vehicle,Vehicle,M2,-0.05429969,-0.241324247,1.386246345,-1.781320595,-0.449196723,-0.315974435,1.159252946,1.285424662,2.289340569,-0.440790758,-3.437598748,0.509495921,-0.501874544,-0.915886974,-0.58319209,-0.097895757,-0.201157574,-1.074426008,-0.532224363,1.032351228,0.527452476,-0.053653226,7.952313549,5.723579293,5.662372893,0.725973421,0.235844862,0.519138895,0.002774642,-1.35927814,0.435335818,1.573314397,-1.582974442,-0.458544125,7.921551147,-0.180457049,-0.571224344,0.015205927,0.224564226
