Group,ID,Full.Name,Treatment,Exposure,Starting,GM-CSF,Eotaxin,Eotaxin-3,IL-10,IL-12p40,IL-12p70,IL-13,IL-15,IL-16,IL-17,IL-1a,IL-1b,IL-2,IL-5,IL-6,IL-7,IL-8,IP-10,MCP-1,MCP-4,MDC,MIP-1a,MIP-1b,TARC,TNF-a,TNF-b,VEGF
Vehicle,Donor_1,M0_Vehicle_Donor_1,M0_Vehicle,Vehicle,M0,0.019623034,46.54470913,2.992137695,0.373772988,0.061466481,0.027446326,1.614479224,0.157500739,33.51147791,0.02569994,0.143468619,0.640231285,0.028190382,0.019456982,0.889227314,0.156940496,810.680585,1257.83697,6667.818562,18.8143924,264.2019812,30.93264344,678.6363812,30.94165913,1.182786729,0.005940516,44.70040397
Vehicle,Donor_2,M0_Vehicle_Donor_2,M0_Vehicle,Vehicle,M0,0.019623034,25.67153218,1.15516917,0.321035893,0.061466481,0.076703251,3.664559191,0.302645129,49.05171691,0.02569994,0.013285877,1.248160509,0.336111505,0.019456982,2.032853928,0.284708009,1116.332572,752.9875167,6375.5164,14.40021056,1459.70638,50.75163638,327.1822803,14.6811997,1.374636146,0.005940516,46.47141705
Vehicle,Donor_3,M0_Vehicle_Donor_3,M0_Vehicle,Vehicle,M0,0.019623034,35.22129256,0.260751412,0.180159814,0.061466481,0.01444647,3.838707136,0.168234976,30.74066869,0.02569994,0.013285877,0.224756585,0.028190382,0.019456982,4.34514011,0.215811149,199.5398998,1582.479242,6436.834383,10.08899721,304.2610269,42.44121187,725.6639446,20.02349852,1.180260654,0.005940516,38.77304552
Vehicle,Donor_4,M0_Vehicle_Donor_4,M0_Vehicle,Vehicle,M0,0.019623034,39.07338549,0.811933683,0.820746993,0.061466481,0.11244553,4.074715033,0.151085714,54.10646001,0.02569994,0.013285877,0.520083597,0.48707176,0.019456982,1.108530818,0.15072708,232.9018715,219.5550188,6515.783414,11.15900145,450.1955625,68.16640637,666.3769192,13.12474462,1.480554622,0.005940516,52.86844021
Vehicle,Donor_5,M0_Vehicle_Donor_5,M0_Vehicle,Vehicle,M0,0.162499539,104.6480403,0.273628207,6.104193,4.871829589,0.821055531,42.18614131,0.857112871,8.728353886,0.02569994,0.203834543,13.78935507,5.622799553,0.019456982,220.3047469,0.041598418,141291.3307,14217.80459,6222.010435,122.2101337,661.1744919,4080.396037,5734.257,45.31835691,127.101364,0.005940516,63.35519402
Vehicle,Donor_1,M2_Vehicle_Donor_1,M2_Vehicle,Vehicle,M2,0.622332347,117.1507844,48.09330344,2.336851901,4.737149755,0.245279612,7.986089311,0.235826401,24.9354443,0.02569994,0.110772104,5.448318439,5.289707825,0.019456982,14.45460314,0.078027484,4997.84592,5789.631481,7133.434829,7281.386226,5332.590678,2332.918088,5573.638233,646.7748187,43.09755534,0.005940516,0.48089933
Vehicle,Donor_2,M2_Vehicle_Donor_2,M2_Vehicle,Vehicle,M2,0.125647838,97.11427957,52.67524214,1.071106185,1.998944537,0.514718962,13.6064611,0.235826401,6.913082233,0.02569994,0.013285877,5.135376619,3.091985992,0.019456982,38.47248959,0.037882526,5427.428165,6977.676726,6850.083077,6950.25945,55346.36377,3703.023326,5941.336471,610.9808856,43.5066765,0.017285047,0.012297298
Vehicle,Donor_3,M2_Vehicle_Donor_3,M2_Vehicle,Vehicle,M2,0.046474573,59.13035409,28.39726997,0.643623873,0.072362846,0.01444647,9.404691398,0.176858962,31.89312625,0.02569994,0.013285877,1.500605971,0.832413482,0.019456982,38.46713703,0.107852475,2390.092852,9585.978372,6948.779624,7281.591554,5328.81129,363.063579,4879.094145,109.4734883,6.604290261,0.005940516,0.754494639
Vehicle,Donor_4,M2_Vehicle_Donor_4,M2_Vehicle,Vehicle,M2,0.167479381,77.87363982,65.18845975,1.390190765,8.29776917,0.21008329,15.61326247,0.157500739,93.41559883,0.053737889,0.013285877,2.477775303,2.167899042,0.019456982,13.88837547,0.060546743,4140.793092,2578.768616,6984.4815,7397.853349,57206.29255,1436.967499,5673.135353,475.6900033,19.17212577,0.01530171,0.113834243
Vehicle,Donor_5,M2_Vehicle_Donor_5,M2_Vehicle,Vehicle,M2,0.094532136,38.15438048,18.64311505,1.525647493,0.314968995,0.751007317,36.80956964,0.102630365,15.22233532,0.02569994,0.013285877,4.659127137,3.046806474,0.025428013,18.49587892,0.016703119,7051.077494,2057.835448,6614.28489,6970.433208,1911.652417,390.6435041,4254.387587,91.12615239,32.86389657,0.005940516,8.587284454
