Full.Name,Group,Exposure,Starting,Treatment,Basal.1,Basal.2,Basal.3,Glucose.1,Glucose.2,Glucose.3,Oligomycin.1,Oligomycin.2,Oligomycin.3,FCCP.1,FCCP.2,FCCP.3,Rot/Aa.1,Rot/Aa.2,Rot/Aa.3
M0_Vehicle_Donor_1,Vehicle,Vehicle,M0,M0_Vehicle,1.847257791,1.821862218,1.745032105,4.176220685,3.940964509,3.759159044,3.947102094,3.606427913,3.451917078,4.664410281,5.06812593,5.156950839,3.482334103,3.409410048,3.364164409
M0_Vehicle_Donor_2,Vehicle,Vehicle,M0,M0_Vehicle,1.699956659,1.622858603,1.564266742,4.719372803,4.453034519,4.26731834,4.47995488,4.255658387,4.272108122,6.055604756,6.127156463,6.204584427,4.609315231,4.487834098,4.412748422
M0_Vehicle_Donor_3,Vehicle,Vehicle,M0,M0_Vehicle,1.920815394,1.944997605,1.657274665,3.567737347,3.463603405,3.382272839,3.431653057,3.038464108,2.865576244,3.564400885,3.791908611,3.911036002,2.964812084,2.903828364,2.853902504
M0_Vehicle_Donor_4,Vehicle,Vehicle,M0,M0_Vehicle,1.949294079,1.833861846,1.953545471,3.281369655,2.924070659,2.751391069,3.406153743,2.560117777,2.336395176,3.2648514,3.476477962,3.664866026,2.37196842,2.320877146,2.216264814
M0_Vehicle_Donor_5,Vehicle,Vehicle,M0,M0_Vehicle,1.638847425,1.436383494,1.426647937,2.601969603,2.562914936,2.487110392,2.488964577,1.976689156,1.882204286,2.823227669,3.059842272,3.202596552,1.964143344,1.895839724,1.809300059
M2_Vehicle_Donor_1,Vehicle,Vehicle,M2,M2_Vehicle,2.201144434,2.0922696,2.036023099,3.394694741,3.105591888,2.970521374,3.941193822,3.302759111,3.205110342,4.908298284,5.284133401,5.50145535,3.650298342,3.49225074,3.392001811
M2_Vehicle_Donor_2,Vehicle,Vehicle,M2,M2_Vehicle,2.40754488,2.397487378,2.333384789,4.868154757,4.4535425,4.250281258,5.485741019,4.766963065,4.777757117,7.217439539,7.362147302,7.458861836,5.179888814,5.13860232,5.024971518
M2_Vehicle_Donor_3,Vehicle,Vehicle,M2,M2_Vehicle,2.629842655,2.600815089,2.501021563,4.719368108,4.277858802,4.035447597,5.312104623,4.76528444,4.830002306,7.80269302,7.961474759,8.050445706,5.611734595,5.577609616,5.522375768
M2_Vehicle_Donor_4,Vehicle,Vehicle,M2,M2_Vehicle,2.396063715,2.277765284,2.2064337,3.388204807,3.047661972,2.979313938,4.282926294,2.899725486,2.672232831,4.433469956,4.751629499,4.976202293,2.867678227,2.677855957,2.60601705
M2_Vehicle_Donor_5,Vehicle,Vehicle,M2,M2_Vehicle,2.285265933,2.122140077,2.085472911,3.134047659,2.975532053,2.795096903,3.427712183,2.518056824,2.493518805,3.833317098,4.081535163,4.230507441,2.522870298,2.40674893,2.362043822
